CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8096","GEOG 211","2","Geog of Human-Enviro Interact","3","  AINW","Lec","MWF","1100-1150","LUTR 269","Finn, John","19","Open",
"9224","GEOG 325","1","Food and Culture","3","","Lec","TR","1100-1215","LUTR 167","Timmer, Andria","9","Open",
"8097","GEOG 350","1","GIS for the Social Sciences","3","","Lec","MW","1500-1715","LUTR 157","Bono, Federica","17","Open",
"8687","GERM 102","1","Beginning German II","3","","Lec","MWF","0900-0950","MCM 307","McInnis, Brian","23","Open",
"8688","GERM 102","2","Beginning German II","3","","Lec","MWF","1100-1150","MCM 307","McInnis, Brian","23","Open",
"8689","GERM 202","1","Intermediate German II","3","  LLFL","Lec","MWF","0900-0950","MCM 160","Deiulio, Laura","23","Open",
"8690","GERM 312","1","German Cultural History II","3","  LLFL","Lec","MWF","1200-1250","MCM 260","Deiulio, Laura","19","Open",
"8691","GERM 314","1","Business German","3","  LLFL","Lec","MWF","1000-1050","MCM 307","McInnis, Brian","19","Open",
"8692","GREK 102","1","Beginning Ancient Greek II","3","","Lec","MWF","1200-1250","MCM 357","Padilla, Mark","19","Open",
"8619","HIST 111","1","Ancient and Medieval World","3","  AIGM","Lec","MWF","1200-1250","MCM 164","Hamilton, Thomas","19","Open",
"8620","HIST 111","2","Ancient and Medieval World","3","  AIGM","Lec","TR","0930-1045","MCM 160","Hyland, John","19","Open",
"8621","HIST 111","3","Ancient and Medieval World","3","  AIGM","Lec","TR","1100-1215","MCM 160","Hyland, John","19","Open",
"8622","HIST 111","4","Ancient and Medieval World","3","  AIGM","Lec","TR","1500-1615","MCM 360","Santoro, Anthony","19","Open",
"8623","HIST 111","5","Ancient and Medieval World","3","  AIGM","Lec","TR","1630-1745","MCM 360","Santoro, Anthony","19","Open",
"8624","HIST 112","1","The Modern World","3","  AIGM","Lec","MWF","1100-1150","MCM 212","Harshman, Deirdre","19","Open",
"8625","HIST 112","2","The Modern World","3","  AIGM","Lec","TR","1100-1215","MCM 316","Xu, Xiaoqun","19","Open",
"8626","HIST 112","3","The Modern World","3","  AIGM","Lec","TR","1330-1445","MCM 262","Xu, Xiaoqun","19","Open",
"8627","HIST 112","4","The Modern World","3","  AIGM","Lec","TR","1330-1445","MCM 210","Stenner, David","19","Open",
"8628","HIST 112","5","The Modern World","3","  AIGM","Lec","TR","1500-1615","MCM 310","Stewart, Nathan","19","Open",
"8630","HIST 112","6","The Modern World","3","  AIGM","Lec","TR","1630-1745","MCM 310","Stewart, Nathan","19","Open",
"8631","HIST 121","1","Early America to the Civil War","3","  AIDE","Lec","MWF","0900-0950","MCM 314","Hamilton, Phillip","19","Open",
"8632","HIST 121","2","Early America to the Civil War","3","  AIDE","Lec","MWF","0900-0950","MCM 212","Shuck-Hall, Sheri","19","Open",
"8633","HIST 121","3","Early America to the Civil War","3","  AIDE","Lec","MWF","1000-1050","MCM 314","Hamilton, Phillip","19","Open",
"8634","HIST 121","4","Early America to the Civil War","3","  AIDE","Lec","MWF","1100-1150","MCM 162","Wood, Elizabeth","19","Open",
"8635","HIST 121","5","Early America to the Civil War","3","  AIDE","Lec","MWF","1200-1250","MCM 162","Wood, Elizabeth","19","Open",
"8636","HIST 121","6","Early America to the Civil War","3","  AIDE","Lec","MW","1800-1915","MCM 307","Allegro, James","19","Open",
"8637","HIST 121","7","Early America to the Civil War","3","  AIDE","Lec","TR","0800-0915","MCM 262","White, William","19","Open",
"8638","HIST 122","1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0800-0850","MCM 357","Stokes, Brian","19","Open",
"8639","HIST 122","2","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0900-0950","MCM 357","Stokes, Brian","19","Open",
"8640","HIST 122","3","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1200-1250","MCM 364","Harshman, Matthew","19","Open",
"8641","HIST 122","4","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1300-1350","MCM 362","Harshman, Matthew","19","Open",
"8642","HIST 122","5","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","0930-1045","MCM 307","Allison, James","19","Open",
"8643","HIST 122","6","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","1100-1215","MCM 307","Allison, James","19","Open",
"8645","HIST 214","1","The Black Death","3","  AIWT","Lec","MWF","1300-1350","MCM 316","Cartwright, Charlotte","19","Open",
"8646","HIST 214","2","The Black Death","3","  AIWT","Lec","MWF","1400-1450","MCM 316","Cartwright, Charlotte","19","Open",
"8647","HIST 216","1","Israel/Palestine","3","  AIGM","Lec","TR","1500-1615","MCM 210","Stenner, David","19","Open",
"9197","HIST 295","1","SPC TP: Soc Hist American Law","3","","Lec","MW","1600-1715","MCM 310","Allegro, James","19","Open",
"8648","HIST 300","1","WI: Hist Mthd &amp; Historiography","3","  WI","Lec","MWF","1000-1050","MCM 257","Connell, William","15","Open",
"8649","HIST 300","2","WI: Hist Mthd &amp; Historiography","3","  WI","Lec","MWF","1100-1150","MCM 257","Connell, William","14","Open",
"8650","HIST 302","1","The Roman Republic","3","","Lec","TR","1330-1445","MCM 212","Hyland, John","19","Open",
"9239","HIST 302","2","The Roman Republic","3","","Lec","TR","1330-1445","MCM 162","Kreiner, Jared","15","Open",
"8651","HIST 304","1","U.S. Women&#39;s History","3","","Lec","TR","1330-1445","MCM 307","Puaca, Laura","19","Open",
"8652","HIST 321","1","Soviet History and Beyond","3","","Lec","MWF","1200-1250","MCM 212","Harshman, Deirdre","19","Open",
"8653","HIST 327","1","History on Film","3","","Lec","W","1800-2100","MCM 101","Santoro, Anthony","19","Open",
